Unknown,1,71:61:E5:F3:F8:73,LightBlue,657,1388847078.114636,1388847090.128891
5ft,2,71:61:E5:F3:F8:73,LightBlue,332,1388847112.264873,1388847124.028489
10ft,3,71:61:E5:F3:F8:73,LightBlue,33,1388847145.295138,1388847153.430468
15ft,4,71:61:E5:F3:F8:73,LightBlue,47,1388847179.534134,1388847190.476297
20ft,5,50:B5:92:1E:9F:09,LightBlue,11,1388847215.755884,1388847222.123576
25ft,6,50:B5:92:1E:9F:09,LightBlue,1,1388847252.146643,1388847252.146643
30ft,7,50:B5:92:1E:9F:09,LightBlue,1,1388847297.879375,1388847297.879375
