Unknown,1,71:61:E5:F3:F8:73,LightBlue,752,1388846452.793070,1388846466.720360
5ft,2,71:61:E5:F3:F8:73,LightBlue,204,1388846502.272633,1388846515.869533
10ft,3,71:61:E5:F3:F8:73,LightBlue,154,1388846539.025578,1388846551.334198
20ft,4,71:61:E5:F3:F8:73,LightBlue,1,1388846633.805687,1388846633.805687
