0ft,1,6A:17:CC:B8:A6:C5,LightBlue,592,1388845408.976137,1388845419.663171
5ft,2,6A:17:CC:B8:A6:C5,LightBlue,470,1388845447.375685,1388845459.481288
10ft,3,6A:17:CC:B8:A6:C5,LightBlue,83,1388845477.519128,1388845487.456186
15ft,4,6A:17:CC:B8:A6:C5,LightBlue,7,1388845509.708449,1388845510.346517
Unknown,5,6A:17:CC:B8:A6:C5,LightBlue,2,1388845520.525235,1388845521.256644
20ft,6,6A:17:CC:B8:A6:C5,LightBlue,4,1388845550.637686,1388845551.219736
Unknown,7,6A:17:CC:B8:A6:C5,LightBlue,2,1388845557.319057,1388845557.319521
25ft,8,6A:17:CC:B8:A6:C5,LightBlue,2,1388845585.301262,1388845585.907319
