0ft,1,6A:17:CC:B8:A6:C5,LightBlue,626,1388845724.471750,1388845735.926865
5ft,2,6A:17:CC:B8:A6:C5,LightBlue,464,1388845756.950994,1388845769.149279
10ft,3,6A:17:CC:B8:A6:C5,LightBlue,138,1388845790.236121,1388845802.217691
15ft,4,6A:17:CC:B8:A6:C5,LightBlue,5,1388845826.134830,1388845826.769229
Unknown,5,6A:17:CC:B8:A6:C5,LightBlue,26,1388845834.889722,1388845837.968419
20ft,6,6A:17:CC:B8:A6:C5,LightBlue,8,1388845881.224857,1388845890.447846
25ft,7,6A:17:CC:B8:A6:C5,LightBlue,8,1388845918.173683,1388845927.862686
30ft,8,6A:17:CC:B8:A6:C5,LightBlue,1,1388845968.779918,1388845968.779918
