Experiment name,Experiment number,Device address,Device name,Count,First timestamp,Second timestamp
0ft,1,79:E6:6B:72:AF:5B,LightBlue,618,1389451466.883156,1389451478.079272
5ft,2,79:E6:6B:72:AF:5B,LightBlue,281,1389451531.387465,1389451542.552039
10ft,3,79:E6:6B:72:AF:5B,LightBlue,288,1389451577.835703,1389451590.622082
15ft,4,79:E6:6B:72:AF:5B,LightBlue,1,1389451627.784951,1389451627.784951
Unknown,5,79:E6:6B:72:AF:5B,LightBlue,8,1389451637.795476,1389451639.170186
