0ft,1,5C:B9:A0:FA:3B:0A,LightBlue,1388522204,116057.1388522217,90693.3069480960
5ft,2,5C:B9:A0:FA:3B:0A,LightBlue,1388522235,403226.1388522246,966966.3069480960
10ft,3,5C:B9:A0:FA:3B:0A,LightBlue,1388522279,285019.1388522279,285480.3069480960
Unknown,4,5C:B9:A0:FA:3B:0A,LightBlue,1388522285,501643.1388522290,959555.000036
15ft,5,5C:B9:A0:FA:3B:0A,LightBlue,1388522329,180218.1388522340,333780.3069480960
20ft,6,5C:B9:A0:FA:3B:0A,LightBlue,1388522391,281742.1388522391,281742.3069480960
25ft,7,5C:B9:A0:FA:3B:0A,LightBlue,1388522438,218045.1388522450,16292.3069480960
