Unknown,1,75:BD:D7:C5:12:DA,LightBlue,1388524669,111794.1388524711,19056.3203392980
5ft,2,75:BD:D7:C5:12:DA,LightBlue,1388524753,392586.1388524794,587958.3069231104
10ft,3,5A:D5:6A:4A:DA:20,LightBlue,1388524832,992964.1388524872,181026.3069231104
15ft,4,5A:D5:6A:4A:DA:20,LightBlue,1388524915,11594.1388524954,227759.3069231104
20ft,5,5A:D5:6A:4A:DA:20,LightBlue,1388525084,83380.1388525120,821287.3069231104
25ft,6,5A:D5:6A:4A:DA:20,LightBlue,1388525247,646259.1388525247,686114.3069231104
30ft,7,5A:D5:6A:4A:DA:20,LightBlue,1388525293,615423.1388525336,754884.3069231104
35ft,8,5A:D5:6A:4A:DA:20,LightBlue,1388525384,168935.1388525427,533546.3069231104
40ft,9,5A:D5:6A:4A:DA:20,LightBlue,1388525513,648567.1388525547,791195.3069231104
