0ft,1,45:D2:6D:01:0D:03,LightBlue,1388529374,445804.1388529381,983514.3070087168
5ft,2,45:D2:6D:01:0D:03,LightBlue,1388529417,485253.1388529423,248908.3070087168
10ft,3,45:D2:6D:01:0D:03,LightBlue,1388529457,825478.1388529458,816597.3070087168
Unknown,4,45:D2:6D:01:0D:03,LightBlue,1388529472,170625.1388529479,33731.000036
15ft,5,45:D2:6D:01:0D:03,LightBlue,1388529517,488744.1388529524,988578.3070087168
20ft,6,45:D2:6D:01:0D:03,LightBlue,1388529563,955650.1388529571,318447.3070087168
25ft,7,45:D2:6D:01:0D:03,LightBlue,1388529607,51172.1388529614,351911.3070087168
30ft,8,45:D2:6D:01:0D:03,LightBlue,1388529651,304832.1388529658,171587.3070087168
35ft,9,45:D2:6D:01:0D:03,LightBlue,1388529699,834937.1388529707,387757.3070087168
40ft,10,45:D2:6D:01:0D:03,LightBlue,1388529745,39689.1388529752,915556.3070087168
