Experiment name,Experiment number,Device address,Device name,Count,First timestamp,Second timestamp
0ft,1,6D:26:52:4E:3F:91,LightBlue,331,1389822851.460554,1389822866.223023
5ft,2,6D:26:52:4E:3F:91,LightBlue,375,1389822936.890482,1389822950.993997
10ft,3,6D:26:52:4E:3F:91,LightBlue,312,1389823000.024162,1389823009.957195
15ft,4,6D:26:52:4E:3F:91,LightBlue,421,1389823057.650529,1389823071.517086
20ft,5,6D:26:52:4E:3F:91,LightBlue,311,1389823107.784059,1389823122.162687
25ft,6,69:5B:4F:57:F8:C6,LightBlue,307,1389823162.473266,1389823176.653936
30ft,7,69:5B:4F:57:F8:C6,LightBlue,279,1389823217.255565,1389823232.115181
35ft,8,69:5B:4F:57:F8:C6,LightBlue,307,1389823271.317729,1389823287.336545
~75ft,9,69:5B:4F:57:F8:C6,LightBlue,41,1389823344.806093,1389823357.699516
