Experiment name,Experiment number,Device address,Device name,Count,First timestamp,Second timestamp
0ft,1,48:79:11:E6:70:F0,LightBlue,444,1389830993.683627,1389831005.675813
5ft,2,48:79:11:E6:70:F0,LightBlue,645,1389831030.021406,1389831041.373571
10ft,3,48:79:11:E6:70:F0,LightBlue,650,1389831064.088939,1389831075.415141
15ft,4,48:79:11:E6:70:F0,LightBlue,614,1389831108.327565,1389831119.660788
20ft,5,48:79:11:E6:70:F0,LightBlue,612,1389831151.056093,1389831162.923310
25ft,6,48:79:11:E6:70:F0,LightBlue,439,1389831190.055143,1389831202.363463
30ft,7,48:79:11:E6:70:F0,LightBlue,443,1389831228.221152,1389831240.795502
35ft,8,48:79:11:E6:70:F0,LightBlue,199,1389831268.202974,1389831279.697579
40ft,9,48:79:11:E6:70:F0,LightBlue,274,1389831306.385353,1389831318.898699
45ft,10,5F:4E:2B:D1:68:46,LightBlue,66,1389831347.811694,1389831360.087014
50ft,11,5F:4E:2B:D1:68:46,LightBlue,198,1389831393.279476,1389831405.085756
55ft,12,5F:4E:2B:D1:68:46,LightBlue,139,1389831435.939957,1389831447.775201
60ft,13,5F:4E:2B:D1:68:46,LightBlue,309,1389831495.341188,1389831507.953539
65ft,14,5F:4E:2B:D1:68:46,LightBlue,182,1389831546.836594,1389831558.769875
70ft,15,5F:4E:2B:D1:68:46,LightBlue,133,1389831592.916315,1389831604.907533
75ft,16,5F:4E:2B:D1:68:46,LightBlue,15,1389831642.834296,1389831655.332576
80ft,17,5F:4E:2B:D1:68:46,LightBlue,32,1389831702.462256,1389831711.613162
