Experiment name,Experiment number,Device address,Device name,Count,First timestamp,Second timestamp
0ft,1,69:5B:4F:57:F8:C6,LightBlue,175,1389823420.343637,1389823427.975452
5ft,2,69:5B:4F:57:F8:C6,LightBlue,151,1389823461.884224,1389823467.593011
10ft,3,69:5B:4F:57:F8:C6,LightBlue,153,1389823689.911571,1389823695.299328
15ft,4,69:5B:4F:57:F8:C6,LightBlue,178,1389823740.833980,1389823745.417506
20ft,5,69:5B:4F:57:F8:C6,LightBlue,138,1389823793.498609,1389823799.653298
25ft,6,69:5B:4F:57:F8:C6,LightBlue,120,1389823841.620254,1389823848.060914
30ft,7,69:5B:4F:57:F8:C6,LightBlue,107,1389823921.799036,1389823927.115592
35ft,8,69:5B:4F:57:F8:C6,LightBlue,81,1389823971.708025,1389823977.046589
~75ft,9,69:5B:4F:57:F8:C6,LightBlue,86,1389824037.400708,1389824042.956395
