Experiment name,Experiment number,Device address,Device name,Count,First timestamp,Second timestamp
0ft,1,59:BB:29:7F:7E:99,LightBlue,1149,1389737301.985340,1389737346.879415
5ft,2,59:BB:29:7F:7E:99,LightBlue,1135,1389737381.234361,1389737426.783601
10ft,3,59:BB:29:7F:7E:99,LightBlue,1019,1389737454.858428,1389737496.563541
15ft,4,7F:76:4E:84:9C:12,LightBlue,894,1389737529.508249,1389737564.732159
20ft,5,7F:76:4E:84:9C:12,LightBlue,730,1389737601.523397,1389737635.635302
25ft,6,7F:76:4E:84:9C:12,LightBlue,767,1389737665.683651,1389737705.121138
30ft,7,7F:76:4E:84:9C:12,LightBlue,771,1389737739.782009,1389737781.116783
35ft,8,7F:76:4E:84:9C:12,LightBlue,717,1389737808.791778,1389737848.002120
~75ft,9,7F:76:4E:84:9C:12,LightBlue,648,1389737898.354465,1389737934.724038
