1,4A:65:AE:27:27:97,LightBlue,478,1388421902.398125,1388421910.906660
2,4A:65:AE:27:27:97,LightBlue,584,1388421923.746963,1388421937.620461
3,4A:65:AE:27:27:97,LightBlue,218,1388421950.495778,1388421964.392274
4,4A:65:AE:27:27:97,LightBlue,147,1388421976.785055,1388421989.240877
5,4A:65:AE:27:27:97,LightBlue,35,1388422002.877272,1388422008.301873
6,4A:65:AE:27:27:97,LightBlue,42,1388422012.814831,1388422018.013857
7,4A:65:AE:27:27:97,LightBlue,1,1388422035.864730,1388422035.864730
8,4A:65:AE:27:27:97,LightBlue,1,1388422042.503430,1388422042.503430
9,4A:65:AE:27:27:97,LightBlue,1,1388422069.270232,1388422069.270232
10,4A:65:AE:27:27:97,LightBlue,6,1388422100.514513,1388422101.543655
11,4A:65:AE:27:27:97,LightBlue,738,1388422136.382861,1388422150.919834
12,4A:65:AE:27:27:97,LightBlue,604,1388422161.150872,1388422174.249294
13,48:AC:BE:42:8F:32,LightBlue,262,1388422182.926153,1388422196.004553
14,48:AC:BE:42:8F:32,LightBlue,155,1388422206.903672,1388422220.743159
15,48:AC:BE:42:8F:32,LightBlue,58,1388422232.318330,1388422244.462731
16,48:AC:BE:42:8F:32,LightBlue,7,1388422267.645041,1388422269.292251
17,48:AC:BE:42:8F:32,LightBlue,1,1388422288.819260,1388422288.819260
18,48:AC:BE:42:8F:32,LightBlue,1,1388422293.317737,1388422293.317737
19,48:AC:BE:42:8F:32,LightBlue,2,1388422320.612593,1388422320.904631
